C#14 Gene,Relation,Count
CCDC88A,Hi-Lo,24
C12orf29,Hi-Lo,17
TFPI,Hi-Lo,17
LOC730092,Hi-Lo,17
FCF1,Hi-Lo,14
RPS6KA2,Hi-Lo,14
PGRMC2,Hi-Lo,9
MAP3K8,Hi-Lo,8
MARS,Hi-Lo,8
HNMT,Hi-Lo,7
FRY,Hi-Lo,6
NFYB,Hi-Lo,4
SGPL1,Hi-Lo,4
CSE1L,Hi-Lo,4
METTL7A,Hi-Lo,4
DCUN1D4,Hi-Lo,4
PIBF1,Hi-Lo,3
KMO,Hi-Lo,3
HNRNPA1,Hi-Lo,3
DTWD1,Hi-Lo,3
KCTD3,Hi-Lo,3
EBI2,Hi-Lo,2
EEF2,Hi-Lo,2
CD302,Hi-Lo,2
MGAT4A,Hi-Lo,2
ENOSF1,Hi-Lo,2
CRTAP,Hi-Lo,2
CYLD,Hi-Lo,2
FLJ21865,Hi-Lo,2
SFRS15,Hi-Lo,2
TI-227H,Hi-Lo,1
JMJD2B,Hi-Lo,1
XBP1,Hi-Lo,1
CLEC4A,Hi-Lo,1
PARP2,Hi-Lo,1
PCBP2,Hi-Lo,1
ANKHD1-EIF4EBP3,Hi-Lo,1
RBBP8,Hi-Lo,1
FNBP1,Hi-Lo,0
SENP6,Hi-Lo,0
SLC38A7,Hi-Lo,0
RPL24,Hi-Lo,0
GAB2,Hi-Lo,0
CLK2,Hi-Lo,0
NACA,Hi-Lo,0
CRK,Hi-Lo,0
RPL15,Hi-Lo,0
NARS2,Hi-Lo,0
EEF1B2,Hi-Lo,0
DDX17,Hi-Lo,0
LOC653380,Hi-Lo,0
KLHDC2,Hi-Lo,0
LOC649299,Hi-Lo,0
C4orf8,Hi-Lo,0
NXF1,Hi-Lo,0
TSC2,Hi-Lo,0
RAPGEF6,Hi-Lo,0
CERK,Hi-Lo,0
SYNE1,Hi-Lo,0
CEP63,Hi-Lo,0
RPL17,Hi-Lo,0
PBLD,Hi-Lo,0
CPEB3,Hi-Lo,0
TCEA1,Hi-Lo,0
MLL,Hi-Lo,0
USE1,Hi-Lo,0
SLC9A8,Hi-Lo,0
RNF5,Hi-Lo,0
ZNF228,Hi-Lo,0
C13orf27,Hi-Lo,0
HNRNPH3,Hi-Lo,0
SPG7,Hi-Lo,0
NOL8,Hi-Lo,0
RPS16,Hi-Lo,0
MDC1,Hi-Lo,0
GNE,Hi-Lo,0
BRD1,Hi-Lo,0
TRIM38,Hi-Lo,0
STK38,Hi-Lo,0
RPS21,Hi-Lo,0
PCNT,Hi-Lo,0
GGA2,Hi-Lo,0
RBM4,Hi-Lo,0
JAK1,Hi-Lo,0
RPL3,Hi-Lo,0
LONP2,Hi-Lo,0
ZNF529,Hi-Lo,0
SMG7,Hi-Lo,0
MLXIP,Hi-Lo,0
RPS15A,Hi-Lo,0
RPL9,Hi-Lo,0
PPRC1,Hi-Lo,0
KTELC1,Hi-Lo,0
RPL22,Hi-Lo,0
LOC100128140,Hi-Lo,0
ZBTB5,Hi-Lo,0
SLC25A6,Hi-Lo,0
TMEM70,Hi-Lo,0
HMBOX1,Hi-Lo,0
LOC390612,Hi-Lo,0
RPL23,Hi-Lo,0
SFRS17A,Hi-Lo,0
RPL13,Hi-Lo,0
DIS3,Hi-Lo,0
DIDO1,Hi-Lo,0
FBXO9,Hi-Lo,0
ZDHHC6,Hi-Lo,0
ZNF274,Hi-Lo,0
C19orf42,Hi-Lo,0
RPL35A,Hi-Lo,0
NFX1,Hi-Lo,0
RAB33B,Hi-Lo,0
LOC440350,Hi-Lo,0
RGS10,Hi-Lo,0
DFFB,Hi-Lo,0
CRKRS,Hi-Lo,0
IPO5,Hi-Lo,0
CAMK1D,Hi-Lo,0
TRIM44,Hi-Lo,0
ZNF551,Hi-Lo,0
RPS17L4,Hi-Lo,0
EIF3EIP,Hi-Lo,0
SLC46A3,Hi-Lo,0
NPEPPS,Hi-Lo,0
LOC439992,Hi-Lo,0
GIN1,Hi-Lo,0
TTC31,Hi-Lo,0
CREBL2,Hi-Lo,0
TULP3,Hi-Lo,0
EZH1,Hi-Lo,0
RPL14,Hi-Lo,0
RPL6,Hi-Lo,0
ZNF187,Hi-Lo,0
ZNF23,Hi-Lo,0
RPL10,Hi-Lo,0
ZNF266,Hi-Lo,0
KIAA1245,Hi-Lo,0
